epoch,aeroplane,cat,deer,dog,frog
1,88.38,50.8,42.32,24.48,69.8
2,88.36,2.62,66.88,61.96,70.36
3,84.46,30.42,55.6,65.9,71.56
4,78.9,68.14,68.02,3.38,76.66
5,46.04,43.24,58.88,69.14,56.48
6,90.38,30.12,81.98,47.84,66.32
7,87.92,61.84,69.14,37.56,74.84
8,81.34,58.08,72.62,50.92,74.3
9,82.94,73.62,37.16,38.96,86.22
10,94.84,44.14,64.24,64.12,77.02
11,90.9,56.9,70.18,37.54,84.12
12,81.68,18.84,66.54,84.32,78.56
13,57.92,57.3,56.08,45.18,90.32
14,80.8,56.56,75.46,69.32,39.82
15,92.44,46.42,41.02,77.66,65.56
