epoch,aeroplane,cat,deer,dog,frog
1,87.0,2.2,0.6,88.0,38.4
2,83.6,3.0,15.2,85.0,65.8
3,94.0,34.6,55.2,69.8,41.2
4,77.2,79.2,46.2,8.2,64.4
5,65.0,59.0,13.2,62.6,84.4
6,95.4,64.8,31.2,54.4,57.8
7,90.8,75.6,39.6,31.4,68.6
8,93.2,66.8,38.6,48.4,86.6
9,95.2,70.6,67.8,20.0,8.0
10,87.8,37.2,79.4,77.0,73.4
11,90.4,51.4,76.4,74.0,35.6
12,94.2,74.0,60.6,32.8,69.2
13,92.6,74.2,71.4,51.6,7.2
14,91.6,55.0,72.4,55.6,69.2
15,91.2,57.2,67.0,69.6,79.8
16,96.2,57.0,74.2,58.4,76.4
17,94.6,28.2,48.8,70.8,85.4
18,91.4,51.0,65.0,59.4,72.4
19,88.8,50.4,67.6,68.4,87.4
