epoch,aeroplane,cat,deer,dog,frog
1,87.86,0.12,0.0,76.48,69.56
2,71.78,5.0,46.5,88.66,5.38
3,89.92,37.94,35.74,37.98,82.66
4,87.98,72.96,21.44,50.86,36.08
5,93.04,69.64,52.14,20.62,53.06
6,78.82,7.3,68.16,81.0,55.04
7,86.9,52.8,65.32,61.82,65.62
8,86.6,54.56,51.52,67.74,77.9
9,84.12,60.22,66.0,62.92,68.58
10,90.16,44.1,78.16,53.74,43.86
11,94.34,61.7,25.7,62.76,74.14
12,88.62,56.06,53.8,53.38,84.98
13,88.74,63.68,74.7,54.22,79.52
14,92.3,42.7,75.58,66.62,34.06
15,86.22,54.14,82.98,27.98,73.98
