epoch,aeroplane,cat,deer,dog,frog
1,80.12,0.14,2.6,73.3,75.28
2,82.82,9.54,44.02,65.88,67.8
3,93.64,18.36,26.8,55.44,81.78
4,87.14,47.66,73.14,13.56,65.76
5,88.28,23.12,83.48,56.84,23.42
6,76.7,55.96,49.3,53.5,85.08
7,90.2,39.92,55.0,73.02,53.08
8,80.5,56.4,69.18,69.02,52.98
9,91.86,66.46,57.92,62.1,69.82
10,90.08,61.12,63.16,39.08,83.4
11,85.2,61.1,81.42,59.94,74.16
12,78.62,68.26,78.94,45.84,66.4
13,95.88,30.26,55.74,52.12,84.62
14,92.74,45.36,69.98,66.82,62.78
15,89.08,71.48,68.06,42.7,81.18
