epoch,aeroplane,cat,deer,dog,frog
1,80.2,0.02,40.74,84.84,33.68
2,80.42,29.22,20.02,77.62,41.5
3,87.2,53.34,47.42,38.48,62.72
4,82.96,21.5,63.16,50.16,89.38
5,87.12,34.08,57.92,61.3,80.38
6,85.48,44.76,66.7,51.76,79.9
7,86.7,48.1,66.46,64.62,67.88
8,91.98,36.68,51.3,31.68,92.3
9,79.68,28.78,80.72,70.96,69.54
10,95.16,47.86,68.54,58.8,57.3
11,92.52,72.14,68.92,42.36,54.46
12,92.18,40.24,75.46,68.1,72.82
13,78.88,34.6,88.1,58.7,64.6
14,84.26,61.46,69.38,68.4,61.66
15,86.94,37.4,74.84,65.08,84.02
