epoch,aeroplane,cat,deer,dog,frog
1,68.18,8.68,32.74,73.66,43.14
2,87.04,44.14,19.82,24.56,85.02
3,80.5,48.24,54.48,36.94,71.24
4,80.62,36.76,35.64,49.7,83.32
5,84.42,19.52,34.42,76.02,77.82
6,90.26,2.22,51.88,68.8,83.56
7,92.96,5.94,75.4,60.22,58.14
8,82.84,40.8,55.1,69.08,51.74
9,73.24,43.04,55.54,46.86,86.8
10,90.72,24.84,68.2,65.46,68.88
11,83.18,26.08,42.52,63.54,88.32
12,80.58,85.64,58.4,11.48,52.06
13,85.72,21.14,37.66,78.6,75.98
14,84.7,72.26,61.4,36.16,66.86
15,81.64,41.36,44.2,66.82,85.14
