epoch,aeroplane,cat,deer,dog,frog
1,87.58,63.08,15.7,2.5,54.54
2,76.86,54.9,53.78,40.08,0.0
3,89.18,12.4,49.48,76.66,51.98
4,81.24,39.32,44.5,54.96,78.2
5,88.48,53.56,60.1,57.46,60.66
6,77.48,50.72,77.34,60.42,64.14
7,88.3,61.76,59.66,60.36,78.86
8,84.7,38.7,74.48,77.62,75.02
9,93.94,70.54,51.5,30.96,86.44
10,88.02,31.96,74.24,72.74,91.54
11,87.48,42.04,70.54,68.96,92.96
12,83.92,60.34,84.84,65.76,81.1
13,93.98,58.02,60.18,79.38,76.08
14,75.54,58.08,68.78,13.2,96.68
15,92.54,45.5,71.04,83.42,92.7
